YEAR,MONTH,DATE,HOUR,MIN,PREDICTED,ACTUAL,ERROR,ERROR_RUN_SUM
2014,11,14,12,0,,0.02551,,
2014,11,14,13,0,,0.02447,,
2014,11,14,14,0,,0.02418,,
2014,11,14,15,0,,0.0253,,
2014,11,14,16,0,,0.03128,,
2014,11,14,17,0,,0.0317,,
2014,11,14,18,0,,0.03066,,
2014,11,14,19,0,,0.02866,,
2014,11,14,20,0,,0.02733,,
2014,11,14,21,0,,0.02263,,
2014,11,14,22,0,,0.0213,,
2014,11,14,23,0,,0.02108,,
2014,11,15,0,0,,0.02063,,
2014,11,15,1,0,,0.02036,,
2014,11,15,2,0,,0.01964,,
2014,11,15,3,0,,0.01972,,
2014,11,15,4,0,,0.01946,,
2014,11,15,5,0,,0.02342,,
2014,11,15,6,0,,0.02889,,
2014,11,15,7,0,,0.02914,,
2014,11,15,8,0,,0.02794,,
2014,11,15,9,0,,0.02845,,
2014,11,15,10,0,,0.02847,,
2014,11,15,11,0,,0.02799,,
2014,11,15,12,0,,0.02749,,
2014,11,15,13,0,,0.0271,,
2014,11,15,14,0,,0.02637,,
2014,11,15,15,0,,0.02743,,
2014,11,15,16,0,,0.03218,,
2014,11,15,17,0,,0.03345,,
2014,11,15,18,0,,0.03163,,
2014,11,15,19,0,,0.03008,,
2014,11,15,20,0,,0.02951,,
2014,11,15,21,0,,0.02667,,
2014,11,15,22,0,,0.02394,,
2014,11,15,23,0,,0.02343,,
2014,11,16,0,0,,0.02237,,
2014,11,16,1,0,,0.02133,,
2014,11,16,2,0,,0.02144,,
2014,11,16,3,0,,0.02193,,
2014,11,16,4,0,,0.02135,,
2014,11,16,5,0,,0.02387,,
2014,11,16,6,0,,0.02826,,
2014,11,16,7,0,,0.02911,,
2014,11,16,8,0,,0.02892,,
2014,11,16,9,0,,0.02837,,
2014,11,16,10,0,,0.0285,,
2014,11,16,11,0,,0.0283,,
2014,11,16,12,0,,0.02813,,
2014,11,16,13,0,,0.02769,,
2014,11,16,14,0,,0.02739,,
2014,11,16,15,0,,0.02772,,
2014,11,16,16,0,,0.03468,,
2014,11,16,17,0,,0.0357,,
2014,11,16,18,0,,0.03358,,
2014,11,16,19,0,,0.03285,,
2014,11,16,20,0,,0.03147,,
2014,11,16,21,0,,0.02798,,
2014,11,16,22,0,,0.02577,,
2014,11,16,23,0,,0.02343,,
2014,11,17,0,0,,0.02304,,
2014,11,17,1,0,,0.02167,,
2014,11,17,2,0,,0.02219,,
2014,11,17,3,0,,0.02222,,
2014,11,17,4,0,,0.0224,,
2014,11,17,5,0,,0.02478,,
2014,11,17,6,0,,0.02897,,
2014,11,17,7,0,,0.03086,,
2014,11,17,8,0,,0.02926,,
2014,11,17,9,0,,0.02931,,
2014,11,17,10,0,,0.02933,,
2014,11,17,11,0,,0.02834,,
